Time,Busy UPFs
1703484.0,25
1703539.0,25
1703658.0,25
1703866.0,25
1703889.0,25
1703918.0,25
1704006.0,25
1704015.0,25
1704048.0,25
1704063.0,25
1704121.0,25
1704128.0,25
1704226.0,25
1704331.0,25
1704339.0,25
1704380.0,25
1704679.0,25
1704728.0,25
1704978.0,26
1705225.0,26
1705226.0,26
1705374.0,26
1705427.0,26
1705938.0,26
1706000.0,26
1706126.0,26
1706242.0,26
1706313.0,26
1706334.0,26
1706351.0,26
1706420.0,26
1706575.0,26
1706624.0,26
1706681.0,26
1706857.0,26
1706919.0,26
1707076.0,26
1707089.0,26
1707120.0,26
1707204.0,26
1707252.0,26
1707326.0,26
1707398.0,26
1707404.0,26
1707509.0,26
1707653.0,26
1707733.0,26
1707986.0,26
1708042.0,26
1708053.0,26
1708194.0,26
1708214.0,27
1708321.0,27
1708340.0,27
1708412.0,27
1708500.0,27
1708566.0,27
1708622.0,27
1708724.0,27
1708759.0,27
1708785.0,27
1708818.0,27
1708890.0,27
1708890.0,27
1709182.0,27
1709231.0,27
1709292.0,27
1709297.0,27
1709396.0,27
1709451.0,27
1709569.0,27
1709630.0,27
1709642.0,27
1709837.0,27
1710012.0,27
1710055.0,27
1710114.0,27
1710262.0,27
1710294.0,26
1710414.0,26
1710493.0,26
1710541.0,26
1710583.0,26
1710680.0,26
1710816.0,26
1711140.0,26
1711143.0,26
1711311.0,26
1711428.0,26
1711488.0,26
1711563.0,26
1711571.0,26
1711607.0,26
1711750.0,26
1711758.0,26
1711762.0,27
1711853.0,27
1712093.0,27
1712096.0,27
1712115.0,27
1712189.0,27
1712279.0,27
1712308.0,27
1712321.0,27
1712430.0,27
1712442.0,27
1712470.0,27
1712514.0,27
1712561.0,27
1712660.0,27
1712720.0,27
1712728.0,27
1712813.0,27
1712957.0,27
1712987.0,27
1713047.0,27
1713166.0,27
1713210.0,27
1713262.0,27
1713378.0,27
1713401.0,27
1713417.0,27
1713499.0,27
1713758.0,27
1713911.0,27
1713958.0,27
1713976.0,27
1714161.0,27
1714238.0,27
1714252.0,27
1714263.0,27
1714385.0,27
1714513.0,27
1714521.0,27
1714523.0,28
1714611.0,28
1714736.0,28
1714737.0,28
1714891.0,28
1714923.0,28
1714924.0,28
1715080.0,28
1715167.0,28
1715222.0,28
1715310.0,28
1715380.0,28
1715390.0,28
1715442.0,28
1715545.0,28
1715623.0,28
1715628.0,28
1715640.0,28
1715668.0,28
1715817.0,28
1715844.0,28
1716269.0,28
1716408.0,28
1716612.0,28
1716717.0,28
1716803.0,28
1716824.0,28
1716847.0,28
1717035.0,28
1717101.0,28
1717198.0,28
1717245.0,28
1717329.0,28
1717362.0,28
1717386.0,28
1717427.0,28
1717450.0,28
1717461.0,28
1717469.0,28
1717483.0,28
1717671.0,28
1717853.0,28
1717878.0,28
1717899.0,29
1717908.0,29
1718119.0,29
1718182.0,29
1718338.0,29
1718409.0,29
1718425.0,29
1718443.0,29
1718536.0,29
1718600.0,29
1718824.0,29
1718833.0,29
1718877.0,29
1718892.0,29
1719043.0,30
1719402.0,30
1719584.0,30
1719589.0,30
1719647.0,30
1719725.0,30
1719759.0,30
1719870.0,30
1720078.0,30
1720080.0,30
1720113.0,30
1720162.0,30
1720341.0,30
1720517.0,30
1720520.0,31
1720595.0,31
1720605.0,31
1720608.0,31
1720679.0,31
1720729.0,30
1720904.0,30
1720927.0,30
1721009.0,30
1721052.0,30
1721080.0,30
1721124.0,29
1721224.0,29
1721370.0,29
1721612.0,29
1721625.0,29
1721635.0,29
1721719.0,29
1721741.0,29
1721932.0,29
1722221.0,29
1722324.0,29
1722341.0,29
1722441.0,29
1722456.0,29
1722467.0,29
1722602.0,29
1722641.0,29
1722682.0,29
1722823.0,29
1722891.0,29
1722927.0,29
1723094.0,29
1723122.0,29
1723133.0,29
1723137.0,29
1723161.0,29
1723340.0,29
1723387.0,29
1723393.0,29
1723409.0,29
1723612.0,29
1723789.0,29
1723811.0,29
1723910.0,29
1723921.0,29
1724059.0,29
1724196.0,29
1724224.0,29
1724306.0,29
1724320.0,29
1724386.0,29
1724446.0,29
1724498.0,29
1724522.0,29
1724530.0,29
1724663.0,29
1724769.0,29
1724794.0,29
1724937.0,29
1724969.0,29
1725007.0,29
1725070.0,29
1725100.0,29
1725125.0,30
1725155.0,30
1725252.0,30
1725409.0,30
1725596.0,30
1725708.0,30
1725756.0,30
1725808.0,30
1725851.0,30
1725871.0,30
1725894.0,30
1725905.0,30
1726026.0,30
1726061.0,30
1726217.0,30
1726255.0,30
1726302.0,30
1726319.0,30
1726334.0,30
1726455.0,30
1726501.0,30
1726566.0,30
1726617.0,30
1726784.0,29
1726975.0,29
1727008.0,29
1727122.0,29
1727342.0,29
1727483.0,29
1727529.0,29
1727642.0,29
1727653.0,29
1727711.0,29
1727775.0,29
1727783.0,29
1727912.0,29
1727945.0,29
1727970.0,29
1727977.0,29
1728041.0,29
1728160.0,29
1728172.0,29
1728199.0,29
1728372.0,29
1728475.0,29
1728488.0,29
1728605.0,29
1728655.0,29
1728677.0,29
1728850.0,29
1728975.0,29
1729004.0,29
1729006.0,29
1729015.0,29
1729070.0,29
1729316.0,29
1729423.0,29
1729532.0,29
1729575.0,29
1729587.0,29
1729783.0,29
1729845.0,29
1729864.0,29
1729981.0,28
1729986.0,28
1730021.0,28
1730184.0,28
1730324.0,28
1730383.0,28
1730446.0,28
1730483.0,28
1730490.0,28
1730543.0,28
1730963.0,28
1731156.0,28
1731225.0,28
1731309.0,28
1731392.0,28
1731452.0,28
1731465.0,28
1731482.0,28
1731555.0,28
1731577.0,28
1731656.0,28
1731816.0,28
1731881.0,28
1731941.0,28
1732028.0,28
1732047.0,28
1732140.0,28
1732262.0,28
1732313.0,28
1732352.0,28
1732439.0,28
1732453.0,28
1732509.0,28
1732630.0,28
1732667.0,28
1732683.0,28
1732732.0,28
1732742.0,28
1732773.0,28
1732902.0,28
1732944.0,28
1732964.0,28
1733141.0,28
1733279.0,28
1733294.0,28
1733382.0,28
1733461.0,28
1733547.0,28
1733547.0,28
1733604.0,29
1733632.0,29
1733655.0,29
1733662.0,29
1733748.0,29
1733879.0,29
1734003.0,29
1734067.0,29
1734199.0,29
1734205.0,30
1734690.0,30
1734924.0,30
1734937.0,30
1734980.0,30
1734998.0,30
1735114.0,30
1735157.0,30
1735181.0,30
1735228.0,29
1735366.0,28
1735446.0,28
1735477.0,28
1735628.0,28
1735793.0,28
1735860.0,28
1735999.0,28
1736010.0,28
1736163.0,28
1736255.0,28
1736285.0,28
1736323.0,28
1736580.0,28
1736687.0,28
1736794.0,28
1736808.0,28
1736844.0,28
1736920.0,28
1737017.0,28
1737020.0,28
1737158.0,28
1737163.0,28
1737405.0,28
1737455.0,28
1737506.0,28
1737577.0,28
1737692.0,28
1737804.0,28
1737891.0,28
1737997.0,28
1738067.0,28
1738107.0,28
1738263.0,28
1738451.0,28
1738495.0,29
1738524.0,29
1738612.0,29
1738684.0,29
1738730.0,29
1738830.0,29
1738956.0,29
1738958.0,29
1738965.0,29
1739005.0,29
1739158.0,29
1739210.0,29
1739289.0,29
1739346.0,29
1739411.0,29
1739682.0,29
1739725.0,29
1739735.0,29
1740016.0,29
1740017.0,29
1740021.0,29
1740058.0,29
1740090.0,29
1740112.0,28
1740140.0,28
1740358.0,28
1740393.0,28
1740500.0,28
1740575.0,28
1740637.0,28
1740726.0,28
1740864.0,28
1740894.0,28
1741150.0,28
1741298.0,28
1741446.0,28
1741462.0,28
1741695.0,28
1741723.0,28
1741740.0,28
1742028.0,28
1742053.0,29
1742072.0,29
1742093.0,29
1742123.0,29
1742248.0,29
1742309.0,29
1742563.0,29
1742664.0,29
1742666.0,29
1742920.0,28
1742931.0,28
1742950.0,28
1743021.0,27
1743483.0,27
1743493.0,27
1743595.0,27
1743728.0,27
1743752.0,27
1743939.0,27
1744005.0,27
1744347.0,27
1744396.0,27
1744602.0,27
1744666.0,27
1744802.0,27
1744869.0,27
1744921.0,27
1744998.0,27
1745036.0,27
1745082.0,27
1745145.0,27
1745152.0,27
1745168.0,27
1745174.0,27
1745207.0,27
1745521.0,27
1745540.0,27
1745577.0,27
1745610.0,27
1745650.0,27
1745680.0,27
1745784.0,27
1745852.0,27
1745892.0,27
1745955.0,27
1745975.0,27
1746065.0,27
1746067.0,27
1746202.0,27
1746220.0,28
1746278.0,28
1746335.0,28
1746340.0,28
1746474.0,27
1746534.0,27
1746574.0,27
1746584.0,27
1746600.0,28
1746704.0,28
1746741.0,28
1746765.0,28
1746777.0,28
1746821.0,28
1747041.0,28
1747069.0,28
1747427.0,28
1747459.0,28
1747475.0,28
1747635.0,27
1747655.0,27
1747659.0,26
1747788.0,26
1747788.0,26
1747990.0,26
1748013.0,26
1748077.0,26
1748148.0,26
1748268.0,26
1748295.0,26
1748375.0,26
1748645.0,26
1748971.0,26
1749049.0,26
1749252.0,26
1749465.0,26
1749520.0,26
1749573.0,26
1749618.0,26
1749833.0,26
1749847.0,26
1749881.0,26
1749958.0,26
1750007.0,26
1750089.0,26
1750125.0,26
1750131.0,26
1750172.0,26
1750174.0,26
1750196.0,26
1750237.0,26
1750332.0,26
1750389.0,26
1750687.0,26
1750811.0,26
1750852.0,25
1750914.0,25
1750994.0,25
1751016.0,25
1751099.0,25
1751155.0,25
1751294.0,25
1751392.0,25
1751393.0,25
1751820.0,25
1751927.0,25
1751932.0,25
1751943.0,25
1751983.0,25
1752181.0,25
1752193.0,25
1752245.0,25
1752317.0,25
