Time,Idle UPFs
1251700.0,0
1251875.0,0
1252146.0,0
1252152.0,0
1252183.0,0
1252342.0,0
1252434.0,0
1252497.0,0
1252526.0,0
1252527.0,0
1252688.0,0
1252690.0,0
1252789.0,0
1252911.0,0
1252922.0,0
1252994.0,0
1253018.0,0
1253076.0,0
1253085.0,0
1253125.0,0
1253267.0,0
1253291.0,0
1253386.0,1
1253559.0,0
1253797.0,0
1253799.0,0
1253812.0,0
1253983.0,0
1254073.0,0
1254107.0,0
1254155.0,0
1254170.0,0
1254179.0,1
1254192.0,0
1254250.0,0
1254404.0,0
1254446.0,0
1254474.0,0
1254480.0,0
1254597.0,0
1254611.0,0
1254668.0,0
1254725.0,0
1254818.0,0
1254900.0,0
1254931.0,0
1255058.0,0
1255066.0,0
1255222.0,0
1255277.0,0
1255443.0,0
1255556.0,0
1255594.0,0
1255697.0,0
1255701.0,0
1255831.0,0
1255886.0,0
1255939.0,0
1255969.0,0
1256145.0,0
1256187.0,1
1256191.0,1
1256313.0,1
1256349.0,0
1256480.0,0
1256558.0,0
1256560.0,0
1256581.0,0
1256582.0,0
1256689.0,0
1256906.0,0
1256912.0,0
1257003.0,0
1257026.0,0
1257104.0,0
1257125.0,0
1257138.0,0
1257138.0,0
1257168.0,0
1257343.0,0
1257486.0,0
1257578.0,0
1257603.0,0
1257832.0,0
1257906.0,0
1257984.0,0
1258021.0,0
1258186.0,0
1258310.0,0
1258407.0,0
1258573.0,0
1258661.0,0
1258670.0,0
1258688.0,0
1258705.0,0
1258755.0,0
1258766.0,0
1258808.0,0
1258818.0,0
1258822.0,0
1258876.0,0
1258980.0,0
1258992.0,0
1259032.0,0
1259085.0,0
1259146.0,0
1259181.0,0
1259191.0,0
1259339.0,0
1259345.0,0
1259353.0,0
1259393.0,0
1259640.0,0
1259648.0,0
1259902.0,0
1259937.0,0
1259945.0,0
1260010.0,0
1260089.0,0
1260139.0,0
1260282.0,0
1260422.0,0
1260451.0,1
1260497.0,1
1260617.0,1
1260785.0,0
1260891.0,0
1260921.0,0
1260944.0,0
1260989.0,0
1261160.0,0
1261168.0,0
1261253.0,0
1261320.0,0
1261366.0,0
1261405.0,0
1261434.0,0
1261445.0,0
1261488.0,0
1261515.0,0
1261561.0,0
1261585.0,0
1261611.0,0
1261669.0,0
1261715.0,0
1261748.0,0
1261916.0,0
1261932.0,0
1261958.0,0
1261965.0,0
1261970.0,0
1262016.0,0
1262019.0,0
1262224.0,0
1262244.0,0
1262307.0,0
1262671.0,0
1262755.0,0
1262790.0,0
1262839.0,0
1262839.0,0
1262901.0,0
1262979.0,0
1263040.0,1
1263043.0,0
1263058.0,0
1263073.0,0
1263134.0,0
1263344.0,0
1263378.0,0
1263384.0,0
1263559.0,1
1263602.0,0
1263603.0,0
1263693.0,0
1263847.0,0
1263875.0,0
1263913.0,0
1264177.0,0
1264185.0,0
1264359.0,0
1264429.0,0
1264453.0,0
1264484.0,0
1264492.0,0
1264507.0,0
1264653.0,0
1264753.0,0
1264852.0,0
1264872.0,0
1264910.0,0
1265011.0,0
1265071.0,0
1265114.0,0
1265118.0,0
1265304.0,0
1265317.0,0
1265374.0,0
1265502.0,0
1265574.0,0
1265615.0,0
1265636.0,0
1265664.0,0
1265783.0,0
1265851.0,0
1265857.0,0
1265868.0,0
1265935.0,0
1266002.0,0
1266091.0,0
1266117.0,1
1266290.0,1
1266384.0,0
1266393.0,0
1266396.0,0
1266404.0,0
1266430.0,0
1266480.0,0
1266545.0,0
1266574.0,0
1266651.0,0
1266685.0,0
1266717.0,0
1266804.0,0
1266825.0,0
1266911.0,0
1266939.0,0
1266945.0,0
1266966.0,0
